Claims_Amount,Claims_Count,Purchase_Date,Purchase_Price,Sale_Flag,Premium,Plan_Flag,Age,Price_Diff,Cover_Start_Date,Plan_Count,PriceTest,Account,Category
0.0,0,2021-11-06,450.0,0,40.56,0,18.0,0.2202166064981949,2021-11-24,0,1,0,12
0.0,0,2021-12-10,437.02,1,45.36,0,0.0,0.148936170212766,2021-12-10,0,1,14,1
0.0,0,2021-11-22,279.48,0,36.24,0,7.0,-0.0820668693009117,2021-11-29,0,1,14,15
0.0,0,2021-10-20,400.0,0,56.52,0,7.0,0.165841584158416,2021-10-27,0,1,14,9
0.0,0,2021-04-16,700.0,1,61.32,0,180.0,-0.0571955719557196,2021-10-13,0,1,29,20
0.0,0,2021-10-21,242.95,0,39.0,0,0.0,-0.2545871559633028,2021-10-21,0,1,2,21
0.0,0,2019-12-11,1000.0,0,27.0,0,731.0,0.061320754716981,2021-12-11,0,1,26,8
0.0,0,2021-09-17,300.0,1,30.36,0,81.0,-0.2991689750692521,2021-12-07,0,1,29,3
0.0,0,2021-09-30,681.76,0,67.56,0,13.0,-0.0017730496453901,2021-10-13,0,1,29,20
0.0,0,2021-10-29,300.0,0,30.36,0,31.0,-0.2991689750692521,2021-11-29,0,1,15,3
0.0,0,2021-11-10,250.0,0,52.92,0,29.0,-0.0576923076923076,2021-12-09,0,1,7,21
0.0,0,2021-06-04,1000.0,1,66.24,0,153.0,0.0184501845018448,2021-11-04,0,1,3,1
0.0,0,2021-11-22,400.0,0,45.72,0,14.0,-0.1858974358974358,2021-12-06,0,1,13,21
0.0,0,2021-11-01,1000.0,1,40.2,1,10.0,0.2093862815884477,2021-11-11,5,1,0,2
0.0,0,2021-10-29,300.0,0,37.8,0,3.0,-0.1274238227146815,2021-11-01,0,1,29,9
0.0,0,2021-11-08,300.0,0,40.92,0,24.0,0.0364741641337387,2021-12-02,0,1,29,14
0.0,0,2021-04-06,429.0,0,44.76,0,193.0,-0.185589519650655,2021-10-16,0,1,19,18
